tag_id,dive_cycle_start_sec,fd_start_UTC,sonar_type_GUESS,model_fnames,mfa_n_pings,mfa_ping_dur_mean_sec,mfa_ping_dur_min_sec,mfa_ping_dur_max_sec,mfa_bb_rms_min,mfa_bb_rms_max,mfa_bb_rms_median,mfa_bb_rms_mean
Zica-20191012-144029,267388,2019-10-15T19:00:27Z,B,NA,64,0.56265625,0.21,1.09,84.21222538,105.6594034,92.53206615,96.92877158
Zica-20191111-94810,365898,2019-11-16T04:23:21Z,A,NA,195,1.805076923,0.45,5.53,73.28236111,97.28004412,80.45160291,85.80052709
Zica-20191111-94810,378272,2019-11-16T07:49:35Z,A,NA,235,1.959744681,0.67,2.87,74.07707258,111.7442322,83.40558326,97.09268588
Zica-20211113-195993,253132,2021-11-16T16:43:22Z,,NA,139,0.108561151,0.055,0.22,82.62223128,109.2236811,107.5121746,106.2314366
Zica-20211113-195993,286580,2021-11-17T02:00:50Z,,NA,152,0.152013158,0.055,0.386,75.31658462,118.1927975,99.93437186,103.729132
Zica-20211112-94819,205364,2021-11-15T07:05:27Z,,NA,5,2.9154,2.662,3.32,84.26152584,93.1507669,87.65268589,89.53461326
Zica-20211112-94819,215452,2021-11-15T09:53:35Z,,NA,7,0.824142857,0.535,1.198,76.46333503,95.30925581,80.43820263,88.83009999
Zica-20211112-94819,345169,2021-11-16T21:55:32Z,,NA,622,0.121926045,0.066,0.204,82.19088736,128.5239354,88.03207383,112.7506954
Zica-20211112-94819,354705,2021-11-17T00:34:28Z,,NA,1443,0.219446292,0.044,0.707,80.94908118,132.5355796,94.05775405,113.0114569
Zica-20211112-94819,374441,2021-11-17T06:03:24Z,,NA,325,0.437049231,0.071,1.221,82.35188309,140.3307187,90.73368183,121.2943343
